id,seasondrill_id,type,ordering,start_date,end_date,description,comment,checked_out,checked_out_time,published
1509,245,129,1342,0000-00-00 00:00:00,0,,,0,5/29/2015 19:01,1
1510,246,129,1343,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1511,247,129,1344,0000-00-00 00:00:00,0,,,0,5/29/2015 19:02,1
1512,248,129,1345,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1513,249,129,1346,0000-00-00 00:00:00,0,,,0,5/29/2015 19:02,1
1514,244,27,1347,NULL,NULL,,,0,0000-00-00 00:00:00,1
1515,244,23,1348,NULL,NULL,,,0,0000-00-00 00:00:00,1
1516,244,12,1349,NULL,NULL,,,0,0000-00-00 00:00:00,1
1517,244,20,1350,NULL,NULL,,,0,0000-00-00 00:00:00,1
1518,244,24,1351,NULL,NULL,,,0,0000-00-00 00:00:00,1
1519,244,21,1352,NULL,NULL,,,0,0000-00-00 00:00:00,1
